,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
3253,龜山區,房地(土地+建物)+車位,桃園市龜山區長慶二街１１９號三樓,15.9,住,,,1100511,土地1建物1車位1,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110125,132.44,2,2,1,有,有,8660000,66243,坡道平面,33.41,2100000,預售屋、或土地及建物分件登記案件；,RPOOMLLKLHHGFHH97DA,59.03,0.0,7.66,有,
3254,龜山區,房地(土地+建物)+車位,桃園市龜山區長慶二街１１９號七樓,15.9,住,,,1090804,土地1建物1車位1,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110125,132.44,2,2,1,有,有,8350000,64122,坡道平面,33.41,2000000,預售屋、或土地及建物分件登記案件；,RPPOMLLKLHHGFHH08DA,59.03,0.0,7.66,有,
3255,龜山區,房地(土地+建物)+車位,桃園市龜山區長慶二街１１７號十三樓,15.9,住,,,1100603,土地1建物1車位1,十三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110125,132.39,2,2,1,有,有,9000000,69711,坡道平面,33.41,2100000,預售屋、或土地及建物分件登記案件；,RPVOMLLKLHHGFHH68DA,58.96,0.0,7.68,有,
3256,龜山區,房地(土地+建物)+車位,桃園市龜山區長慶三街８２號五樓,20.7,住,,,1091222,土地1建物1車位1,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110125,163.04,3,2,2,有,有,10880000,68503,坡道平面,33.41,2000000,預售屋、或土地及建物分件登記案件；,RPWNMLLLLHHGFHH78DA,77.25,0.0,10.05,有,
3257,龜山區,房地(土地+建物)+車位,桃園市龜山區華亞三路３９巷４０號十樓,19.35,住,,,1100820,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101209,183.65,4,2,2,有,有,13000000,73119,坡道平面,33.21,2000000,預售屋、或土地及建物分件登記案件；,RPPNMLNLLHHGFHH28DA,93.06,0.0,9.28,有,
3258,龜山區,房地(土地+建物)+車位,桃園市龜山區文青路３４３號十一樓之２,21.22,住,,,1110224,土地1建物1車位1,十一層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041127,182.56,4,2,2,有,有,13800000,75592,坡道平面,33.75,0,,RPPQMLNLLHHGFHH58DA,97.74,0.0,8.84,有,
3259,龜山區,房地(土地+建物)+車位,桃園市龜山區長慶三街６６號十三樓,12.3,都市：其他:第四種住宅區,,,1100810,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110125,107.87,2,1,1,有,有,7350000,70833,坡道平面,32.34,2000000,預售屋、或土地及建物分件登記案件；,RPRQMLNLLHHGFHH78DA,46.96,0.0,3.95,有,
3260,龜山區,房地(土地+建物)+車位,桃園市龜山區長慶三街６８號十四樓,12.6,都市：其他:第四種住宅區,,,1100427,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110125,111.03999999999999,2,2,1,有,有,7480000,69303,坡道平面,33.41,2100000,預售屋、或土地及建物分件登記案件；,RPSQMLNLLHHGFHH88DA,48.35,0.0,3.95,有,
3261,龜山區,房地(土地+建物)+車位,桃園市龜山區長慶二街１１９號十樓,15.9,都市：其他:第四種住宅區,,,1100525,土地1建物1車位1,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110125,132.44,2,2,1,有,有,8880000,68464,坡道平面,33.41,2100000,預售屋、或土地及建物分件登記案件；,RPVQMLNLLHHGFHH56DA,59.03,0.0,7.66,有,
3262,龜山區,房地(土地+建物)+車位,桃園市龜山區長峰路８８號十五樓,21.37,住,,,1110210,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011215,190.67000000000002,3,2,2,有,有,12100000,63460,坡道平面,35.83,0,,RPTTNLSLLHHGFHH27DA,95.62,2.39,9.3,有,
